dataset,group
babies_cerny,Depth2Pose
bottles_pet_1,Depth2Pose
cups_1,Depth2Pose
dresden_1,Depth2Pose
franz_kafka,Depth2Pose
giant_chair_vltava,Depth2Pose
gothenburg_statue,Depth2Pose
klamovka_sign1,Depth2Pose
kyoto_nakagawahigashiyama_statue,Depth2Pose
kyoto_nakagawahigashiyama_tree,Depth2Pose
memorial_victims_of_communism,Depth2Pose
monkey_toy_1,Depth2Pose
monkey_toy_2,Depth2Pose
niemand,Depth2Pose
overgrown_statue_couple,Depth2Pose
overgrown_statue_pot,Depth2Pose
prague_castle_statue,Depth2Pose
r2d2_folimanka,Depth2Pose
spejbl_hurvinek,Depth2Pose
stromovka_2,Depth2Pose
stromovka_2b,Depth2Pose
stromovka_3,Depth2Pose
stromovka_7,Depth2Pose
tree_orbit_normal1,Depth2Pose
yvr_huge_chair,Depth2Pose
zlata_kasna_chrt,Depth2Pose